date,growth_score,growth_label,inflation_score,inflation_label,policy_score,policy_label,liquidity_score,liquidity_label,spx,vix,vix_vix3m,rsp_spy,hyg_lqd,t10y2y,hy_oas,net_liq_tn,dxy
2026-07-21,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7510.55,17.0,0.8696,0.2842,0.745,0.39,2.69,5.987,101.17
2026-07-22,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7498.96,16.64,0.8516,0.2846,0.7455,0.36,2.69,5.987,101.14
2026-07-23,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7408.3,18.7,0.9078,0.2871,0.7456,0.34,2.68,5.917,101.44
2026-07-24,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7411.98,18.58,0.9059,0.289,0.7458,0.36,2.77,5.917,101.46
2026-07-27,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7413.18,18.67,0.9243,0.2911,,0.34,2.79,5.917,101.51
2026-07-28,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7428.78,18.21,0.9169,0.2938,0.7434,0.35,2.81,5.917,101.39
2026-07-29,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7316.15,20.66,0.9609,0.2957,0.746,0.45,2.84,5.917,100.8
2026-07-30,4,Rising,2,Mixed,3,Loose / Easing,3,Ample / Loosening,7437.63,17.09,0.8764,0.2904,0.7468,0.45,2.87,5.825,99.97
